title,summary,published,updated,authors,pdf_url,primary_category,categories
Adapting a World Model for Trajectory Following in a 3D Game,"Imitation learning is a powerful tool for training agents by leveraging
expert knowledge, and being able to replicate a given trajectory is an integral
part of it. In complex environments, like modern 3D video games, distribution
shift and stochasticity necessitate robust approaches beyond simple action
replay. In this study, we apply Inverse Dynamics Models (IDM) with different
encoders and policy heads to trajectory following in a modern 3D video game --
Bleeding Edge. Additionally, we investigate several future alignment strategies
that address the distribution shift caused by the aleatoric uncertainty and
imperfections of the agent. We measure both the trajectory deviation distance
and the first significant deviation point between the reference and the agent's
trajectory and show that the optimal configuration depends on the chosen
setting. Our results show that in a diverse data setting, a GPT-style policy
head with an encoder trained from scratch performs the best, DINOv2 encoder
with the GPT-style policy head gives the best results in the low data regime,
and both GPT-style and MLP-style policy heads had comparable results when
pre-trained on a diverse setting and fine-tuned for a specific behaviour
setting.",2025-04-16 17:59:54+00:00,2025-04-16 17:59:54+00:00,"['Marko Tot', 'Shu Ishida', 'Abdelhak Lemkhenter', 'David Bignell', 'Pallavi Choudhury', 'Chris Lovett', 'Luis França', 'Matheus Ribeiro Furtado de Mendonça', 'Tarun Gupta', 'Darren Gehring', 'Sam Devlin', 'Sergio Valcarcel Macua', 'Raluca Georgescu']",http://arxiv.org/pdf/2504.12299v1,cs.AI,"['cs.AI', 'cs.CV', 'cs.LG']"
SHeaP: Self-Supervised Head Geometry Predictor Learned via 2D Gaussians,"Accurate, real-time 3D reconstruction of human heads from monocular images
and videos underlies numerous visual applications. As 3D ground truth data is
hard to come by at scale, previous methods have sought to learn from abundant
2D videos in a self-supervised manner. Typically, this involves the use of
differentiable mesh rendering, which is effective but faces limitations. To
improve on this, we propose SHeaP (Self-supervised Head Geometry Predictor
Learned via 2D Gaussians). Given a source image, we predict a 3DMM mesh and a
set of Gaussians that are rigged to this mesh. We then reanimate this rigged
head avatar to match a target frame, and backpropagate photometric losses to
both the 3DMM and Gaussian prediction networks. We find that using Gaussians
for rendering substantially improves the effectiveness of this self-supervised
approach. Training solely on 2D data, our method surpasses existing
self-supervised approaches in geometric evaluations on the NoW benchmark for
neutral faces and a new benchmark for non-neutral expressions. Our method also
produces highly expressive meshes, outperforming state-of-the-art in emotion
classification.",2025-04-16 17:55:02+00:00,2025-04-16 17:55:02+00:00,"['Liam Schoneveld', 'Zhe Chen', 'Davide Davoli', 'Jiapeng Tang', 'Saimon Terazawa', 'Ko Nishino', 'Matthias Nießner']",http://arxiv.org/pdf/2504.12292v1,cs.CV,"['cs.CV', 'cs.AI', 'cs.LG']"
Trend Filtered Mixture of Experts for Automated Gating of High-Frequency Flow Cytometry Data,"Ocean microbes are critical to both ocean ecosystems and the global climate.
Flow cytometry, which measures cell optical properties in fluid samples, is
routinely used in oceanographic research. Despite decades of accumulated data,
identifying key microbial populations (a process known as ``gating'') remains a
significant analytical challenge. To address this, we focus on gating
multidimensional, high-frequency flow cytometry data collected {\it
continuously} on board oceanographic research vessels, capturing time- and
space-wise variations in the dynamic ocean. Our paper proposes a novel
mixture-of-experts model in which both the gating function and the experts are
given by trend filtering. The model leverages two key assumptions: (1) Each
snapshot of flow cytometry data is a mixture of multivariate Gaussians and (2)
the parameters of these Gaussians vary smoothly over time. Our method uses
regularization and a constraint to ensure smoothness and that cluster means
match biologically distinct microbe types. We demonstrate, using flow cytometry
data from the North Pacific Ocean, that our proposed model accurately matches
human-annotated gating and corrects significant errors.",2025-04-16 17:51:59+00:00,2025-04-16 17:51:59+00:00,"['Sangwon Hyun', 'Tim Coleman', 'Francois Ribalet', 'Jacob Bien']",http://arxiv.org/pdf/2504.12287v1,stat.ME,"['stat.ME', 'stat.AP', 'stat.ML', '62H30 (Primary) 62G08, 92B10, 62J07 (Secondary)']"
BitNet b1.58 2B4T Technical Report,"We introduce BitNet b1.58 2B4T, the first open-source, native 1-bit Large
Language Model (LLM) at the 2-billion parameter scale. Trained on a corpus of 4
trillion tokens, the model has been rigorously evaluated across benchmarks
covering language understanding, mathematical reasoning, coding proficiency,
and conversational ability. Our results demonstrate that BitNet b1.58 2B4T
achieves performance on par with leading open-weight, full-precision LLMs of
similar size, while offering significant advantages in computational
efficiency, including substantially reduced memory footprint, energy
consumption, and decoding latency. To facilitate further research and adoption,
the model weights are released via Hugging Face along with open-source
inference implementations for both GPU and CPU architectures.",2025-04-16 17:51:43+00:00,2025-04-16 17:51:43+00:00,"['Shuming Ma', 'Hongyu Wang', 'Shaohan Huang', 'Xingxing Zhang', 'Ying Hu', 'Ting Song', 'Yan Xia', 'Furu Wei']",http://arxiv.org/pdf/2504.12285v1,cs.CL,"['cs.CL', 'cs.LG']"
How Do I Do That? Synthesizing 3D Hand Motion and Contacts for Everyday Interactions,"We tackle the novel problem of predicting 3D hand motion and contact maps (or
Interaction Trajectories) given a single RGB view, action text, and a 3D
contact point on the object as input. Our approach consists of (1) Interaction
Codebook: a VQVAE model to learn a latent codebook of hand poses and contact
points, effectively tokenizing interaction trajectories, (2) Interaction
Predictor: a transformer-decoder module to predict the interaction trajectory
from test time inputs by using an indexer module to retrieve a latent
affordance from the learned codebook. To train our model, we develop a data
engine that extracts 3D hand poses and contact trajectories from the diverse
HoloAssist dataset. We evaluate our model on a benchmark that is 2.5-10X larger
than existing works, in terms of diversity of objects and interactions
observed, and test for generalization of the model across object categories,
action categories, tasks, and scenes. Experimental results show the
effectiveness of our approach over transformer & diffusion baselines across all
settings.",2025-04-16 17:48:12+00:00,2025-04-16 17:48:12+00:00,"['Aditya Prakash', 'Benjamin Lundell', 'Dmitry Andreychuk', 'David Forsyth', 'Saurabh Gupta', 'Harpreet Sawhney']",http://arxiv.org/pdf/2504.12284v1,cs.CV,"['cs.CV', 'cs.AI', 'cs.LG']"
Dysarthria Normalization via Local Lie Group Transformations for Robust ASR,"We present a geometry-driven method for normalizing dysarthric speech using
local Lie group transformations of spectrograms. Time, frequency, and amplitude
distortions are modeled as smooth, invertible deformations, parameterized by
scalar fields and applied via exponential maps. A neural network is trained to
infer these fields from synthetic distortions of typical speech-without using
any pathological data. At test time, the model applies an approximate inverse
to real dysarthric inputs. Despite zero-shot generalization, we observe
substantial ASR gains, including up to 16 percentage points WER reduction on
challenging TORGO samples, with no degradation on clean speech. This work
introduces a principled, interpretable approach for robust speech recognition
under motor speech disorders",2025-04-16 17:41:19+00:00,2025-04-16 17:41:19+00:00,['Mikhail Osipov'],http://arxiv.org/pdf/2504.12279v1,cs.SD,"['cs.SD', 'cs.CL', 'cs.LG', 'eess.AS']"
HLS-Eval: A Benchmark and Framework for Evaluating LLMs on High-Level Synthesis Design Tasks,"The rapid scaling of large language model (LLM) training and inference has
driven their adoption in semiconductor design across academia and industry.
While most prior work evaluates LLMs on hardware description language (HDL)
tasks, particularly Verilog, designers are increasingly using high-level
synthesis (HLS) to build domain-specific accelerators and complex hardware
systems. However, benchmarks and tooling to comprehensively evaluate LLMs for
HLS design tasks remain scarce.
  To address this, we introduce HLS-Eval, the first complete benchmark and
evaluation framework for LLM-driven HLS design. HLS-Eval targets two core
tasks: (1) generating HLS code from natural language descriptions, and (2)
performing HLS-specific code edits to optimize performance and hardware
efficiency. The benchmark includes 94 unique designs drawn from standard HLS
benchmarks and novel sources. Each case is prepared via a semi-automated flow
that produces a natural language description and a paired testbench for
C-simulation and synthesis validation, ensuring each task is ""LLM-ready.""
  Beyond the benchmark, HLS-Eval offers a modular Python framework for
automated, parallel evaluation of both local and hosted LLMs. It includes a
parallel evaluation engine, direct HLS tool integration, and abstractions for
to support different LLM interaction paradigms, enabling rapid prototyping of
new benchmarks, tasks, and LLM methods.
  We demonstrate HLS-Eval through baseline evaluations of open-source LLMs on
Vitis HLS, measuring outputs across four key metrics - parseability,
compilability, runnability, and synthesizability - reflecting the iterative HLS
design cycle. We also report pass@k metrics, establishing clear baselines and
reusable infrastructure for the broader LLM-for-hardware community.
  All benchmarks, framework code, and results are open-sourced at
https://github.com/stefanpie/hls-eval.",2025-04-16 17:30:36+00:00,2025-04-16 17:30:36+00:00,"['Stefan Abi-Karam', 'Cong Hao']",http://arxiv.org/pdf/2504.12268v1,cs.AR,"['cs.AR', 'cs.AI']"
SCENT: Robust Spatiotemporal Learning for Continuous Scientific Data via Scalable Conditioned Neural Fields,"Spatiotemporal learning is challenging due to the intricate interplay between
spatial and temporal dependencies, the high dimensionality of the data, and
scalability constraints. These challenges are further amplified in scientific
domains, where data is often irregularly distributed (e.g., missing values from
sensor failures) and high-volume (e.g., high-fidelity simulations), posing
additional computational and modeling difficulties. In this paper, we present
SCENT, a novel framework for scalable and continuity-informed spatiotemporal
representation learning. SCENT unifies interpolation, reconstruction, and
forecasting within a single architecture. Built on a transformer-based
encoder-processor-decoder backbone, SCENT introduces learnable queries to
enhance generalization and a query-wise cross-attention mechanism to
effectively capture multi-scale dependencies. To ensure scalability in both
data size and model complexity, we incorporate a sparse attention mechanism,
enabling flexible output representations and efficient evaluation at arbitrary
resolutions. We validate SCENT through extensive simulations and real-world
experiments, demonstrating state-of-the-art performance across multiple
challenging tasks while achieving superior scalability.",2025-04-16 17:17:31+00:00,2025-04-16 17:17:31+00:00,"['David Keetae Park', 'Xihaier Luo', 'Guang Zhao', 'Seungjun Lee', 'Miruna Oprescu', 'Shinjae Yoo']",http://arxiv.org/pdf/2504.12262v1,cs.LG,"['cs.LG', 'cs.AI']"
FLIP Reasoning Challenge,"Over the past years, advances in artificial intelligence (AI) have
demonstrated how AI can solve many perception and generation tasks, such as
image classification and text writing, yet reasoning remains a challenge. This
paper introduces the FLIP dataset, a benchmark for evaluating AI reasoning
capabilities based on human verification tasks on the Idena blockchain. FLIP
challenges present users with two orderings of 4 images, requiring them to
identify the logically coherent one. By emphasizing sequential reasoning,
visual storytelling, and common sense, FLIP provides a unique testbed for
multimodal AI systems. Our experiments evaluate state-of-the-art models,
leveraging both vision-language models (VLMs) and large language models (LLMs).
Results reveal that even the best open-sourced and closed-sourced models
achieve maximum accuracies of 75.5% and 77.9%, respectively, in zero-shot
settings, compared to human performance of 95.3%. Captioning models aid
reasoning models by providing text descriptions of images, yielding better
results than when using the raw images directly, 69.6% vs. 75.2% for Gemini 1.5
Pro. Combining the predictions from 15 models in an ensemble increases the
accuracy to 85.2%. These findings highlight the limitations of existing
reasoning models and the need for robust multimodal benchmarks like FLIP. The
full codebase and dataset will be available at
https://github.com/aplesner/FLIP-Reasoning-Challenge.",2025-04-16 17:07:16+00:00,2025-04-16 17:07:16+00:00,"['Andreas Plesner', 'Turlan Kuzhagaliyev', 'Roger Wattenhofer']",http://arxiv.org/pdf/2504.12256v1,cs.CV,"['cs.CV', 'cs.AI', 'cs.LG']"
Human Aligned Compression for Robust Models,"Adversarial attacks on image models threaten system robustness by introducing
imperceptible perturbations that cause incorrect predictions. We investigate
human-aligned learned lossy compression as a defense mechanism, comparing two
learned models (HiFiC and ELIC) against traditional JPEG across various quality
levels. Our experiments on ImageNet subsets demonstrate that learned
compression methods outperform JPEG, particularly for Vision Transformer
architectures, by preserving semantically meaningful content while removing
adversarial noise. Even in white-box settings where attackers can access the
defense, these methods maintain substantial effectiveness. We also show that
sequential compression--applying rounds of
compression/decompression--significantly enhances defense efficacy while
maintaining classification performance. Our findings reveal that human-aligned
compression provides an effective, computationally efficient defense that
protects the image features most relevant to human and machine understanding.
It offers a practical approach to improving model robustness against
adversarial threats.",2025-04-16 17:05:58+00:00,2025-04-16 17:05:58+00:00,"['Samuel Räber', 'Andreas Plesner', 'Till Aczel', 'Roger Wattenhofer']",http://arxiv.org/pdf/2504.12255v1,cs.CV,"['cs.CV', 'eess.IV']"
Advancing Arabic Speech Recognition Through Large-Scale Weakly Supervised Learning,"Automatic speech recognition (ASR) is crucial for human-machine interaction
in diverse applications like conversational agents, industrial robotics, call
center automation, and automated subtitling. However, developing
high-performance ASR models remains challenging, particularly for low-resource
languages like Arabic, due to the scarcity of large, labeled speech datasets,
which are costly and labor-intensive to produce. In this work, we employ weakly
supervised learning to train an Arabic ASR model using the Conformer
architecture. Our model is trained from scratch on 15,000 hours of weakly
annotated speech data covering both Modern Standard Arabic (MSA) and Dialectal
Arabic (DA), eliminating the need for costly manual transcriptions. Despite the
absence of human-verified labels, our approach attains state-of-the-art (SOTA)
performance, exceeding all previous efforts in the field of Arabic ASR on the
standard benchmarks. By demonstrating the effectiveness of weak supervision as
a scalable, cost-efficient alternative to traditional supervised approaches,
paving the way for improved ASR systems in low resource settings.",2025-04-16 17:05:14+00:00,2025-04-16 17:05:14+00:00,"['Mahmoud Salhab', 'Marwan Elghitany', 'Shameed Sait', 'Syed Sibghat Ullah', 'Mohammad Abusheikh', 'Hasan Abusheikh']",http://arxiv.org/pdf/2504.12254v1,cs.AI,"['cs.AI', 'cs.CL']"
AnomalyGen: An Automated Semantic Log Sequence Generation Framework with LLM for Anomaly Detection,"The scarcity of high-quality public log datasets has become a critical
bottleneck in advancing log-based anomaly detection techniques. Current
datasets exhibit three fundamental limitations: (1) incomplete event coverage,
(2) artificial patterns introduced by static analysis-based generation
frameworks, and (3) insufficient semantic awareness. To address these
challenges, we present AnomalyGen, the first automated log synthesis framework
specifically designed for anomaly detection. Our framework introduces a novel
four-phase architecture that integrates enhanced program analysis with
Chain-of-Thought reasoning (CoT reasoning), enabling iterative log generation
and anomaly annotation without requiring physical system execution. Evaluations
on Hadoop and HDFS distributed systems demonstrate that AnomalyGen achieves
substantially broader log event coverage (38-95 times improvement over existing
datasets) while producing more operationally realistic log sequences compared
to static analysis-based approaches. When augmenting benchmark datasets with
synthesized logs, we observe maximum F1-score improvements of 3.7% (average
1.8% improvement across three state-of-the-art anomaly detection models). This
work not only establishes a high-quality benchmarking resource for automated
log analysis but also pioneers a new paradigm for applying large language
models (LLMs) in software engineering workflows.",2025-04-16 16:54:38+00:00,2025-04-16 16:54:38+00:00,"['Xinyu Li', 'Yingtong Huo', 'Chenxi Mao', 'Shiwen Shan', 'Yuxin Su', 'Dan Li', 'Zibin Zheng']",http://arxiv.org/pdf/2504.12250v1,cs.SE,['cs.SE']
Comparative Evaluation of Radiomics and Deep Learning Models for Disease Detection in Chest Radiography,"The application of artificial intelligence (AI) in medical imaging has
revolutionized diagnostic practices, enabling advanced analysis and
interpretation of radiological data. This study presents a comprehensive
evaluation of radiomics-based and deep learning-based approaches for disease
detection in chest radiography, focusing on COVID-19, lung opacity, and viral
pneumonia. While deep learning models, particularly convolutional neural
networks (CNNs) and vision transformers (ViTs), learn directly from image data,
radiomics-based models extract and analyze quantitative features, potentially
providing advantages in data-limited scenarios. This study systematically
compares the diagnostic accuracy and robustness of various AI models, including
Decision Trees, Gradient Boosting, Random Forests, Support Vector Machines
(SVM), and Multi-Layer Perceptrons (MLP) for radiomics, against
state-of-the-art computer vision deep learning architectures. Performance
metrics across varying sample sizes reveal insights into each model's efficacy,
highlighting the contexts in which specific AI approaches may offer enhanced
diagnostic capabilities. The results aim to inform the integration of AI-driven
diagnostic tools in clinical practice, particularly in automated and
high-throughput environments where timely, reliable diagnosis is critical. This
comparative study addresses an essential gap, establishing guidance for the
selection of AI models based on clinical and operational needs.",2025-04-16 16:54:37+00:00,2025-04-16 16:54:37+00:00,"['Zhijin He', 'Alan B. McMillan']",http://arxiv.org/pdf/2504.12249v1,eess.IV,"['eess.IV', 'cs.CV', 'cs.LG']"
Towards Human-Centered Early Prediction Models for Academic Performance in Real-World Contexts,"Supporting student success requires collaboration among multiple
stakeholders. Researchers have explored machine learning models for academic
performance prediction; yet key challenges remain in ensuring these models are
interpretable, equitable, and actionable within real-world educational support
systems. First, many models prioritize predictive accuracy but overlook
human-centered considerations, limiting trust among students and reducing their
usefulness for educators and institutional decision-makers. Second, most models
require at least a month of data before making reliable predictions, delaying
opportunities for early intervention. Third, current models primarily rely on
sporadically collected, classroom-derived data, missing broader behavioral
patterns that could provide more continuous and actionable insights. To address
these gaps, we present three modeling approaches-LR, 1D-CNN, and MTL-1D-CNN-to
classify students as low or high academic performers. We evaluate them based on
explainability, fairness, and generalizability to assess their alignment with
key social values. Using behavioral and self-reported data collected within the
first week of two Spring terms, we demonstrate that these models can identify
at-risk students as early as week one. However, trade-offs across
human-centered considerations highlight the complexity of designing predictive
models that effectively support multi-stakeholder decision-making and
intervention strategies. We discuss these trade-offs and their implications for
different stakeholders, outlining how predictive models can be integrated into
student support systems. Finally, we examine broader socio-technical challenges
in deploying these models and propose future directions for advancing
human-centered, collaborative academic prediction systems.",2025-04-16 16:40:56+00:00,2025-04-16 16:40:56+00:00,"['Han Zhang', 'Yiyi Ren', 'Paula S. Nurius', 'Jennifer Mankoff', 'Anind K. Dey']",http://arxiv.org/pdf/2504.12236v1,cs.HC,"['cs.HC', '68U35', 'H.5.0; I.2.m']"
Watermarking Needs Input Repetition Masking,"Recent advancements in Large Language Models (LLMs) raised concerns over
potential misuse, such as for spreading misinformation. In response two counter
measures emerged: machine learning-based detectors that predict if text is
synthetic, and LLM watermarking, which subtly marks generated text for
identification and attribution. Meanwhile, humans are known to adjust language
to their conversational partners both syntactically and lexically. By
implication, it is possible that humans or unwatermarked LLMs could
unintentionally mimic properties of LLM generated text, making counter measures
unreliable. In this work we investigate the extent to which such conversational
adaptation happens. We call the concept $\textit{mimicry}$ and demonstrate that
both humans and LLMs end up mimicking, including the watermarking signal even
in seemingly improbable settings. This challenges current academic assumptions
and suggests that for long-term watermarking to be reliable, the likelihood of
false positives needs to be significantly lower, while longer word sequences
should be used for seeding watermarking mechanisms.",2025-04-16 16:25:26+00:00,2025-04-16 16:25:26+00:00,"['David Khachaturov', 'Robert Mullins', 'Ilia Shumailov', 'Sumanth Dathathri']",http://arxiv.org/pdf/2504.12229v1,cs.LG,"['cs.LG', 'cs.CL', 'cs.CR']"
zkVC: Fast Zero-Knowledge Proof for Private and Verifiable Computing,"In the context of cloud computing, services are held on cloud servers, where
the clients send their data to the server and obtain the results returned by
server. However, the computation, data and results are prone to tampering due
to the vulnerabilities on the server side. Thus, verifying the integrity of
computation is important in the client-server setting. The cryptographic method
known as Zero-Knowledge Proof (ZKP) is renowned for facilitating private and
verifiable computing. ZKP allows the client to validate that the results from
the server are computed correctly without violating the privacy of the server's
intellectual property. Zero-Knowledge Succinct Non-Interactive Argument of
Knowledge (zkSNARKs), in particular, has been widely applied in various
applications like blockchain and verifiable machine learning. Despite their
popularity, existing zkSNARKs approaches remain highly computationally
intensive. For instance, even basic operations like matrix multiplication
require an extensive number of constraints, resulting in significant overhead.
In addressing this challenge, we introduce \textit{zkVC}, which optimizes the
ZKP computation for matrix multiplication, enabling rapid proof generation on
the server side and efficient verification on the client side. zkVC integrates
optimized ZKP modules, such as Constraint-reduced Polynomial Circuit (CRPC) and
Prefix-Sum Query (PSQ), collectively yielding a more than 12-fold increase in
proof speed over prior methods. The code is available at
https://github.com/UCF-Lou-Lab-PET/zkformer",2025-04-16 16:11:11+00:00,2025-04-16 16:11:11+00:00,"['Yancheng Zhang', 'Mengxin Zheng', 'Xun Chen', 'Jingtong Hu', 'Weidong Shi', 'Lei Ju', 'Yan Solihin', 'Qian Lou']",http://arxiv.org/pdf/2504.12217v1,cs.CR,['cs.CR']
